precision,bit_size,starting_hash_size,downgraded_hash_size,hasher,composite_hash,average_number_of_duplicates,absolute_average_number_of_duplicates,total_number_of_hashes
6,5,24,16,AHasher,CurrentHash,0.0008729670329670329,0.01222,14
6,5,24,16,WyHash,CurrentHash,0.0009143956043956043,0.0128,13
8,6,24,16,WyHash,SwitchHash,0.0009178653846153847,0.05966,65
8,6,24,16,XxHash64,SwitchHash,0.0009280336538461539,0.06032,65
6,5,24,16,XxHash64,CurrentHash,0.0009546153846153845,0.01336,14
13,6,32,24,XxHash64,CurrentHash,0.0009715690908967686,1.4933,1537
13,6,32,24,AHasher,CurrentHash,0.0009739893732379093,1.49702,1537
13,6,32,24,WyHash,CurrentHash,0.0009751869171546302,1.49886,1537
8,6,24,16,AHasher,SwitchHash,0.0009757211538461538,0.06342,65
17,4,32,24,XxHash64,SwitchHash,0.0009905426744700279,16.23004,16385
17,4,32,24,AHasher,SwitchHash,0.0009911749600226246,16.2404,16385
17,4,32,24,WyHash,SwitchHash,0.0009925896901284042,16.26358,16385
5,6,24,16,AHasher,CurrentHash,0.0010269444444444445,0.00924,9
5,6,24,16,XxHash64,CurrentHash,0.0010336111111111112,0.0093,9
5,6,24,16,WyHash,CurrentHash,0.0010891666666666667,0.0098,9
17,5,32,24,XxHash64,SwitchHash,0.0011993029079829325,24.56292,20481
17,5,32,24,WyHash,SwitchHash,0.0012008760636287139,24.59514,20481
17,5,32,24,AHasher,SwitchHash,0.0012009668858961506,24.597,20481
9,4,24,16,XxHash64,SwitchHash,0.0012793351573187415,0.11002,86
16,4,32,24,AHasher,CurrentHash,0.0012944297985894974,10.60526,8193
16,4,32,24,XxHash64,CurrentHash,0.0012957723968107303,10.61626,8193
16,4,32,24,WyHash,CurrentHash,0.0012984575813337227,10.63826,8193
9,4,24,16,WyHash,SwitchHash,0.0013025991792065665,0.11202,86
9,4,24,16,AHasher,SwitchHash,0.0013165444596443228,0.11322,86
17,6,32,24,XxHash64,SwitchHash,0.0014386322403849169,35.35726,24577
17,6,32,24,WyHash,SwitchHash,0.0014401206063495385,35.39384,24577
17,6,32,24,AHasher,SwitchHash,0.0014416993156367193,35.43264,24577
9,5,24,16,XxHash64,SwitchHash,0.0015518127314406627,0.16604,107
9,5,24,16,WyHash,SwitchHash,0.001571826838300123,0.16818,107
9,5,24,16,AHasher,SwitchHash,0.00157966848880268,0.16902,107
8,4,24,16,AHasher,CurrentHash,0.001614606866002215,0.06942,43
15,5,32,24,AHasher,CurrentHash,0.0016157518924831576,8.27426,5121
15,5,32,24,XxHash64,CurrentHash,0.0016192784551357158,8.29232,5121
