precision,bit_size,hash_size,uniform_rice_coefficient,geometric_rice_coefficient,rate,mean_compressed_size,number_of_hashes,number_of_hashes_with_code,extra_hashes
17,4,25,9,0,0.4138,13.2059,16384,39591,23207
17,4,26,10,0,0.4496,14.3458,16384,36442,20058
17,4,27,11,0,0.4854,15.4860,16384,33757,17373
17,4,28,13,0,0.5210,16.6212,16384,31450,15066
17,4,29,14,0,0.5543,17.6834,16384,29559,13175
17,4,30,15,0,0.5876,18.7458,16384,27882,11498
17,4,31,16,0,0.6210,19.8090,16384,26383,9999
17,4,32,17,0,0.6544,20.8727,16384,25037,8653
17,5,22,0,0,0.1243,3.9679,20480,164816,144336
17,5,23,7,0,0.3332,10.6384,20480,61469,40989
17,5,24,8,0,0.3679,11.7452,20480,55674,35194
17,5,25,9,0,0.4025,12.8517,20480,50878,30398
17,5,26,10,0,0.4372,13.9585,20480,46841,26361
17,5,27,11,0,0.4719,15.0656,20480,43397,22917
17,5,28,12,0,0.5066,16.1732,20480,40423,19943
17,5,29,13,0,0.5414,17.2813,20480,37829,17349
17,5,30,14,0,0.5761,18.3897,20480,35547,15067
17,5,31,15,0,0.6109,19.4985,20480,33524,13044
17,5,32,16,0,0.6457,20.6071,20480,31719,11239
17,6,23,0,0,0.1212,3.8703,24576,202832,178256
17,6,24,7,0,0.3585,11.4506,24576,68553,43977
17,6,25,9,0,0.3955,12.6315,24576,62142,37566
17,6,26,10,0,0.4295,13.7170,24576,57221,32645
17,6,27,11,0,0.4635,14.8027,24576,53022,28446
17,6,28,12,0,0.4975,15.8892,24576,49395,24819
17,6,29,13,0,0.5316,16.9763,24576,46230,21654
17,6,30,14,0,0.5657,18.0636,24576,43445,18869
17,6,31,15,0,0.5998,19.1515,24576,40975,16399
17,6,32,16,0,0.6339,20.2397,24576,38771,14195
18,4,22,0,0,0.1304,4.1682,32768,251211,218443
18,4,23,6,0,0.3061,9.7823,32768,107037,74269
18,4,24,7,0,0.3419,10.9238,32768,95849,63081
18,4,25,8,0,0.3776,12.0642,32768,86785,54017
18,4,26,9,0,0.4132,13.2035,32768,79294,46526
18,4,27,10,0,0.4489,14.3432,32768,72991,40223
18,4,28,11,0,0.4846,15.4830,32768,67615,34847
18,4,29,13,0,0.5202,16.6196,32768,62989,30221
18,4,30,14,0,0.5535,17.6816,32768,59204,26436
18,4,31,15,0,0.5868,18.7439,32768,55846,23078
18,4,32,16,0,0.6200,19.8066,32768,52848,20080
18,5,23,0,0,0.1241,3.9669,40960,330025,289065
18,5,24,7,0,0.3328,10.6375,40960,123069,82109
18,5,25,8,0,0.3674,11.7438,40960,111472,70512
18,5,26,9,0,0.4021,12.8505,40960,101869,60909
18,5,27,10,0,0.4367,13.9570,40960,93791,52831
18,5,28,11,0,0.4714,15.0640,40960,86895,45935
18,5,29,12,0,0.5060,16.1711,40960,80944,39984
18,5,30,13,0,0.5407,17.2790,40960,75753,34793
18,5,31,14,0,0.5754,18.3876,40960,71183,30223
18,5,32,15,0,0.6101,19.4959,40960,67135,26175
18,6,24,0,0,0.1210,3.8695,49152,406068,356916
18,6,25,7,0,0.3581,11.4489,49152,137240,88088
18,6,26,9,0,0.3951,12.6307,49152,124396,75244
18,6,27,10,0,0.4291,13.7159,49152,114551,65399
18,6,28,11,0,0.4631,14.8015,49152,106147,56995
18,6,29,12,0,0.4971,15.8880,49152,98887,49735
18,6,30,13,0,0.5311,16.9748,49152,92553,43401
18,6,31,14,0,0.5651,18.0622,49152,86979,37827
18,6,32,15,0,0.5991,19.1497,49152,82038,32886
